Ping     Download     Upload    Data
21.346    34.88        22.03     Wed Mar  2 19:31:07 2016

23.725    36.09        23.40     Wed Mar  2 19:31:07 2016

21.394    32.33        20.98     Wed Mar  2 19:31:07 2016

20.407    36.50        22.49     Wed Mar  2 19:31:07 2016

21.39    29.57        22.46     Wed Mar  2 19:31:07 2016

21.241    29.93        20.12     Wed Mar  2 19:31:07 2016

20.913    34.61        23.32     Wed Mar  2 19:31:07 2016

21.73    32.59        22.96     Wed Mar  2 19:31:07 2016

22.756    33.09        22.80     Wed Mar  2 19:31:07 2016

20.872    34.06        22.00     Wed Mar  2 19:31:07 2016

23.234    33.76        21.22     Wed Mar  2 19:31:07 2016

23.838    34.03        18.93     Wed Mar  2 19:31:07 2016

21.438    34.11        18.43     Wed Mar  2 19:31:07 2016

21.847    34.58        19.85     Wed Mar  2 19:31:07 2016

22.497    34.46        16.66     Wed Mar  2 19:31:07 2016

24.444    32.65        20.49     Wed Mar  2 19:31:07 2016

23.824    34.38        20.95     Wed Mar  2 19:31:07 2016

21.323    32.37        21.40     Wed Mar  2 19:31:07 2016

21.353    33.27        20.75     Wed Mar  2 19:31:07 2016

25.257    33.55        21.61     Wed Mar  2 19:31:07 2016

20.855    34.83        22.26     Wed Mar  2 19:31:07 2016

21.246    30.58        23.01     Wed Mar  2 19:31:07 2016

20.568    29.16        22.36     Wed Mar  2 19:31:07 2016

21.566    35.39        23.39     Wed Mar  2 19:31:07 2016

22.01    34.53        20.88     Wed Mar  2 19:31:07 2016

21.273    32.47        18.90     Wed Mar  2 19:31:07 2016

23.823    35.70        18.81     Wed Mar  2 19:31:07 2016

20.713    36.33        21.00     Wed Mar  2 19:31:07 2016

21.626    36.11        22.46     Wed Mar  2 19:31:07 2016

21.057    35.10        22.01     Wed Mar  2 19:31:07 2016

21.277    32.56        20.14     Wed Mar  2 19:31:07 2016

20.737    35.43        22.35     Wed Mar  2 19:31:07 2016

23.199    34.81        23.22     Wed Mar  2 19:31:07 2016

21.132    32.30        21.81     Wed Mar  2 19:31:07 2016

21.692    29.33        22.22     Wed Mar  2 19:31:07 2016

21.422    34.40        21.60     Wed Mar  2 19:31:07 2016

20.573    34.12        22.72     Wed Mar  2 19:31:07 2016

22.588    34.43        20.97     Wed Mar  2 19:31:07 2016

22.984    33.50        21.07     Wed Mar  2 19:31:07 2016

25.172    33.22        21.55     Wed Mar  2 19:31:07 2016

21.544    33.58        20.92     Wed Mar  2 19:31:07 2016

21.369    34.34        21.89     Wed Mar  2 19:31:07 2016

22.023    33.29        21.22     Wed Mar  2 19:31:07 2016

21.677    33.64        20.21     Wed Mar  2 19:31:07 2016

21.383    33.37        19.18     Wed Mar  2 19:31:07 2016

21.273    32.90        20.91     Wed Mar  2 19:31:07 2016

21.754    33.21        20.52     Wed Mar  2 19:31:07 2016

21.311    33.18        22.99     Wed Mar  2 19:31:07 2016

23.332    35.62        23.49     Wed Mar  2 19:31:07 2016

23.312    36.54        23.51     Wed Mar  2 19:31:07 2016

20.546    30.84        22.28     Wed Mar  2 19:31:07 2016

22.004    34.93        21.15     Wed Mar  2 19:31:07 2016

25.139    34.78        21.74     Wed Mar  2 19:31:07 2016

25.131    34.90        22.01     Wed Mar  2 19:31:07 2016

21.263    33.91        20.80     Wed Mar  2 19:31:07 2016

23.347    33.84        21.35     Wed Mar  2 19:31:07 2016

21.797    35.65        19.81     Wed Mar  2 19:31:07 2016

22.637    34.24        21.31     Wed Mar  2 19:31:07 2016

23.204    33.03        20.97     Wed Mar  2 19:31:07 2016

21.439    33.32        20.79     Wed Mar  2 19:31:07 2016

23.026    34.18        19.23     Wed Mar  2 19:31:07 2016

20.636    34.37        21.79     Wed Mar  2 19:31:07 2016

22.555    34.53        20.43     Wed Mar  2 19:31:07 2016

21.524    32.56        18.20     Wed Mar  2 19:31:07 2016

21.535    34.17        23.25     Wed Mar  2 19:31:07 2016

20.577    34.89        23.42     Wed Mar  2 19:31:07 2016

23.427    34.67        23.24     Wed Mar  2 19:31:07 2016

21.001    35.02        22.92     Wed Mar  2 19:31:07 2016

21.368    34.31        23.29     Wed Mar  2 19:31:07 2016

20.63    35.81        20.84     Wed Mar  2 19:31:07 2016

22.472    34.07        20.85     Wed Mar  2 19:31:07 2016

20.954    34.71        12.85     Wed Mar  2 19:31:07 2016

22.597    35.90        21.12     Wed Mar  2 19:31:07 2016

20.457    29.74        22.96     Wed Mar  2 19:31:07 2016

21.286    29.56        20.14     Wed Mar  2 19:31:07 2016

23.713    33.45        2.70     Wed Mar  2 19:31:07 2016

21.981    32.71        21.00     Wed Mar  2 19:31:07 2016

21.978    34.24        20.21     Wed Mar  2 19:31:07 2016

24.602    34.24        21.80     Wed Mar  2 19:31:07 2016

21.792    33.45        21.30     Wed Mar  2 19:31:07 2016

21.814    30.60        18.22     Wed Mar  2 19:31:07 2016

22.312    33.86        20.14     Wed Mar  2 19:31:07 2016

21.325    33.13        21.44     Wed Mar  2 19:31:07 2016

23.035    28.32        20.60     Wed Mar  2 19:31:07 2016

23.191    32.64        20.86     Wed Mar  2 19:31:07 2016

23.421    31.92        1.03     Wed Mar  2 19:31:07 2016

23.427    27.96        19.97     Wed Mar  2 19:31:07 2016

21.639    34.01        14.11     Wed Mar  2 19:31:07 2016

23.163    31.61        11.77     Wed Mar  2 19:31:07 2016

