Ping     Download     Upload    Data
24.661    33.38        21.70     Wed Mar  2 19:31:07 2016

21.794    33.75        20.96     Wed Mar  2 19:31:07 2016

24.131    31.76        17.62     Wed Mar  2 19:31:07 2016

21.966    33.47        21.12     Wed Mar  2 19:31:07 2016

25.236    34.19        21.60     Wed Mar  2 19:31:07 2016

21.248    33.95        20.30     Wed Mar  2 19:31:07 2016

21.379    33.85        20.68     Wed Mar  2 19:31:07 2016

21.501    32.05        21.37     Wed Mar  2 19:31:07 2016

26.295    29.91        19.57     Wed Mar  2 19:31:07 2016

22.307    33.59        20.52     Wed Mar  2 19:31:07 2016

22.299    33.30        20.88     Wed Mar  2 19:31:07 2016

21.745    33.46        21.37     Wed Mar  2 19:31:07 2016

21.454    34.08        21.21     Wed Mar  2 19:31:07 2016

22.614    33.31        19.08     Wed Mar  2 19:31:07 2016

