Ping: 26.463 ms
Download: 32.56 Mbit/s
Upload: 21.05 Mbit/s
Ping: 22.842 ms
Download: 33.62 Mbit/s
Upload: 21.23 Mbit/s
Ping: 24.901 ms
Download: 32.38 Mbit/s
Upload: 18.14 Mbit/s
Ping: 29.489 ms
Download: 33.11 Mbit/s
Upload: 18.51 Mbit/s
Ping: 21.419 ms
Download: 33.40 Mbit/s
Upload: 18.24 Mbit/s
Ping: 22.271 ms
Download: 34.50 Mbit/s
Upload: 16.75 Mbit/s
Ping: 21.17 ms
Download: 34.04 Mbit/s
Upload: 20.93 Mbit/s
Ping: 20.915 ms
Download: 33.74 Mbit/s
Upload: 19.55 Mbit/s
Ping: 24.402 ms
Download: 25.80 Mbit/s
Upload: 17.24 Mbit/s
Ping: 24.205 ms
Download: 34.29 Mbit/s
Upload: 21.29 Mbit/s
Ping: 27.544 ms
Download: 18.54 Mbit/s
Upload: 18.39 Mbit/s
Ping: 22.856 ms
Download: 34.23 Mbit/s
Upload: 11.26 Mbit/s
Ping: 23.193 ms
Download: 33.42 Mbit/s
Upload: 5.09 Mbit/s
Ping: 36.883 ms
Download: 32.46 Mbit/s
Upload: 20.14 Mbit/s
Ping: 23.706 ms
Download: 33.39 Mbit/s
Upload: 21.25 Mbit/s
Ping: 25.144 ms
Download: 33.38 Mbit/s
Upload: 19.48 Mbit/s
Ping: 22.749 ms
Download: 30.61 Mbit/s
Upload: 14.62 Mbit/s
Ping: 31.942 ms
Download: 35.04 Mbit/s
Upload: 21.37 Mbit/s
Ping: 24.83 ms
Download: 33.76 Mbit/s
Upload: 21.66 Mbit/s
Ping: 21.906 ms
Download: 35.25 Mbit/s
Upload: 22.20 Mbit/s
Ping: 22.002 ms
Download: 32.66 Mbit/s
Upload: 22.11 Mbit/s
Ping: 21.402 ms
Download: 34.47 Mbit/s
Upload: 22.57 Mbit/s
Ping: 21.581 ms
Download: 34.59 Mbit/s
Upload: 10.15 Mbit/s
Ping: 21.332 ms
Download: 34.68 Mbit/s
Upload: 21.70 Mbit/s
Ping: 21.836 ms
Download: 31.69 Mbit/s
Upload: 15.83 Mbit/s
Ping: 21.582 ms
Download: 34.68 Mbit/s
Upload: 20.82 Mbit/s
Ping: 22.04 ms
Download: 33.97 Mbit/s
Upload: 20.33 Mbit/s
Ping: 21.451 ms
Download: 34.92 Mbit/s
Upload: 21.86 Mbit/s
Ping: 22.808 ms
Download: 33.03 Mbit/s
Upload: 20.37 Mbit/s
Ping: 22.047 ms
Download: 34.70 Mbit/s
Upload: 17.56 Mbit/s
Ping: 24.663 ms
Download: 34.72 Mbit/s
Upload: 21.57 Mbit/s
Ping: 21.277 ms
Download: 31.68 Mbit/s
Upload: 18.82 Mbit/s
Ping: 21.569 ms
Download: 34.26 Mbit/s
Upload: 20.99 Mbit/s
Ping: 21.975 ms
Download: 34.49 Mbit/s
Upload: 20.28 Mbit/s
Ping: 21.274 ms
Download: 29.09 Mbit/s
Upload: 21.86 Mbit/s
Ping: 22.22 ms
Download: 34.59 Mbit/s
Upload: 20.95 Mbit/s
Ping: 21.19 ms
Download: 33.85 Mbit/s
Upload: 18.07 Mbit/s
Ping: 21.285 ms
Download: 33.72 Mbit/s
Upload: 16.53 Mbit/s
Ping: 21.57 ms
Download: 34.44 Mbit/s
Upload: 18.60 Mbit/s
Ping: 21.451 ms
Download: 32.81 Mbit/s
Upload: 21.73 Mbit/s
Ping: 21.195 ms
Download: 34.38 Mbit/s
Upload: 21.82 Mbit/s
Ping: 21.195 ms
Download: 34.02 Mbit/s
Upload: 21.02 Mbit/s
Ping: 21.246 ms
Download: 34.96 Mbit/s
Upload: 20.02 Mbit/s
Ping: 23.684 ms
Download: 34.11 Mbit/s
Upload: 21.46 Mbit/s
Ping: 25.327 ms
Download: 33.80 Mbit/s
Upload: 21.40 Mbit/s
Ping: 23.332 ms
Download: 30.79 Mbit/s
Upload: 22.94 Mbit/s
Ping: 19.789 ms
Download: 35.42 Mbit/s
Upload: 21.59 Mbit/s
Ping: 22.513 ms
Download: 35.85 Mbit/s
Upload: 22.64 Mbit/s
Ping: 19.363 ms
Download: 35.94 Mbit/s
Upload: 20.19 Mbit/s
Ping: 21.457 ms
Download: 35.62 Mbit/s
Upload: 21.10 Mbit/s
Ping: 21.803 ms
Download: 35.55 Mbit/s
Upload: 23.50 Mbit/s
Ping: 21.277 ms
Download: 34.51 Mbit/s
Upload: 23.03 Mbit/s
Ping: 22.821 ms
Download: 36.54 Mbit/s
Upload: 21.23 Mbit/s
Ping: 20.819 ms
Download: 36.02 Mbit/s
Upload: 21.82 Mbit/s
Ping: 20.061 ms
Download: 35.48 Mbit/s
Upload: 21.06 Mbit/s
Ping: 29.237 ms
Download: 34.75 Mbit/s
Upload: 20.13 Mbit/s
Ping: 21.008 ms
Download: 35.35 Mbit/s
Upload: 22.10 Mbit/s
Ping: 20.865 ms
Download: 34.47 Mbit/s
Upload: 20.37 Mbit/s
Ping: 21.541 ms
Download: 35.88 Mbit/s
Upload: 20.40 Mbit/s
Ping: 21.706 ms
Download: 35.81 Mbit/s
Upload: 22.23 Mbit/s
Ping: 20.637 ms
Download: 34.46 Mbit/s
Upload: 22.14 Mbit/s
Ping: 21.333 ms
Download: 35.99 Mbit/s
Upload: 23.14 Mbit/s
Ping: 20.933 ms
Download: 36.53 Mbit/s
Upload: 23.06 Mbit/s
Ping: 23.914 ms
Download: 33.70 Mbit/s
Upload: 23.28 Mbit/s
Ping: 22.128 ms
Download: 34.33 Mbit/s
Upload: 19.00 Mbit/s
Ping: 20.88 ms
Download: 35.51 Mbit/s
Upload: 19.59 Mbit/s
Ping: 20.701 ms
Download: 35.23 Mbit/s
Upload: 20.37 Mbit/s
Ping: 20.106 ms
Download: 35.48 Mbit/s
Upload: 23.35 Mbit/s
Ping: 20.499 ms
Download: 33.19 Mbit/s
Upload: 23.35 Mbit/s
Ping: 22.912 ms
Download: 36.26 Mbit/s
Upload: 17.83 Mbit/s
Ping: 21.686 ms
Download: 32.01 Mbit/s
Upload: 21.55 Mbit/s
Ping: 22.544 ms
Download: 34.99 Mbit/s
Upload: 21.09 Mbit/s
Ping: 22.014 ms
Download: 35.80 Mbit/s
Upload: 21.73 Mbit/s
Ping: 21.148 ms
Download: 33.51 Mbit/s
Upload: 23.02 Mbit/s
Ping: 21.47 ms
Download: 33.09 Mbit/s
Upload: 22.00 Mbit/s
Ping: 23.346 ms
Download: 34.06 Mbit/s
Upload: 20.11 Mbit/s
Ping: 21.771 ms
Download: 33.64 Mbit/s
Upload: 21.54 Mbit/s
Ping: 21.998 ms
Download: 34.11 Mbit/s
Upload: 21.39 Mbit/s
Ping: 22.265 ms
Download: 19.58 Mbit/s
Upload: 17.78 Mbit/s
Ping: 21.979 ms
Download: 34.64 Mbit/s
Upload: 21.70 Mbit/s
Ping: 23.082 ms
Download: 24.22 Mbit/s
Upload: 20.63 Mbit/s
Ping: 21.128 ms
Download: 34.03 Mbit/s
Upload: 21.96 Mbit/s
Ping: 21.271 ms
Download: 34.83 Mbit/s
Upload: 19.58 Mbit/s
Ping: 23.047 ms
Download: 34.83 Mbit/s
Upload: 21.05 Mbit/s
Ping: 21.463 ms
Download: 32.58 Mbit/s
Upload: 21.89 Mbit/s
Ping: 25.194 ms
Download: 33.69 Mbit/s
Upload: 22.02 Mbit/s
Ping: 21.37 ms
Download: 34.06 Mbit/s
Upload: 22.01 Mbit/s
Ping: 25.723 ms
Download: 33.92 Mbit/s
Upload: 20.51 Mbit/s
Ping: 23.215 ms
Download: 34.05 Mbit/s
Upload: 19.26 Mbit/s
Ping: 21.534 ms
Download: 33.85 Mbit/s
Upload: 21.82 Mbit/s
Ping: 23.349 ms
Download: 34.67 Mbit/s
Upload: 20.53 Mbit/s
Ping: 21.269 ms
Download: 32.86 Mbit/s
Upload: 20.53 Mbit/s
Ping: 21.324 ms
Download: 32.71 Mbit/s
Upload: 20.67 Mbit/s
Ping: 21.96 ms
Download: 33.96 Mbit/s
Upload: 17.63 Mbit/s
Ping: 23.261 ms
Download: 34.34 Mbit/s
Upload: 21.37 Mbit/s
Ping: 23.222 ms
Download: 35.11 Mbit/s
Upload: 22.73 Mbit/s
Ping: 20.597 ms
Download: 35.38 Mbit/s
Upload: 19.64 Mbit/s
Ping: 20.69 ms
Download: 34.25 Mbit/s
Upload: 23.38 Mbit/s
Ping: 21.379 ms
Download: 35.22 Mbit/s
Upload: 17.99 Mbit/s
Ping: 21.326 ms
Download: 35.08 Mbit/s
Upload: 23.63 Mbit/s
Ping: 20.043 ms
Download: 37.43 Mbit/s
Upload: 20.13 Mbit/s
Ping: 19.953 ms
Download: 33.74 Mbit/s
Upload: 21.35 Mbit/s
Ping: 21.346 ms
Download: 34.88 Mbit/s
Upload: 22.03 Mbit/s
Ping: 23.725 ms
Download: 36.09 Mbit/s
Upload: 23.40 Mbit/s
Ping: 21.394 ms
Download: 32.33 Mbit/s
Upload: 20.98 Mbit/s
Ping: 20.407 ms
Download: 36.50 Mbit/s
Upload: 22.49 Mbit/s
Ping: 21.39 ms
Download: 29.57 Mbit/s
Upload: 22.46 Mbit/s
Ping: 21.241 ms
Download: 29.93 Mbit/s
Upload: 20.12 Mbit/s
Ping: 20.913 ms
Download: 34.61 Mbit/s
Upload: 23.32 Mbit/s
Ping: 21.73 ms
Download: 32.59 Mbit/s
Upload: 22.96 Mbit/s
Ping: 22.756 ms
Download: 33.09 Mbit/s
Upload: 22.80 Mbit/s
Ping: 20.872 ms
Download: 34.06 Mbit/s
Upload: 22.00 Mbit/s
Ping: 23.234 ms
Download: 33.76 Mbit/s
Upload: 21.22 Mbit/s
Ping: 23.838 ms
Download: 34.03 Mbit/s
Upload: 18.93 Mbit/s
Ping: 21.438 ms
Download: 34.11 Mbit/s
Upload: 18.43 Mbit/s
Ping: 21.847 ms
Download: 34.58 Mbit/s
Upload: 19.85 Mbit/s
Ping: 22.497 ms
Download: 34.46 Mbit/s
Upload: 16.66 Mbit/s
Ping: 24.444 ms
Download: 32.65 Mbit/s
Upload: 20.49 Mbit/s
Ping: 23.824 ms
Download: 34.38 Mbit/s
Upload: 20.95 Mbit/s
Ping: 21.323 ms
Download: 32.37 Mbit/s
Upload: 21.40 Mbit/s
Ping: 21.353 ms
Download: 33.27 Mbit/s
Upload: 20.75 Mbit/s
Ping: 25.257 ms
Download: 33.55 Mbit/s
Upload: 21.61 Mbit/s
Ping: 20.855 ms
Download: 34.83 Mbit/s
Upload: 22.26 Mbit/s
Ping: 21.246 ms
Download: 30.58 Mbit/s
Upload: 23.01 Mbit/s
Ping: 20.568 ms
Download: 29.16 Mbit/s
Upload: 22.36 Mbit/s
Ping: 21.566 ms
Download: 35.39 Mbit/s
Upload: 23.39 Mbit/s
Ping: 22.01 ms
Download: 34.53 Mbit/s
Upload: 20.88 Mbit/s
Ping: 21.273 ms
Download: 32.47 Mbit/s
Upload: 18.90 Mbit/s
